eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval,status,error
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,655.0,115.0,176.0,124.0,0.1266778566297697,0.006899729271307248,0.02608695652173913,0.008695652173913044,3.0,115.0,0.2611477704459108,,
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.07,0.12000000000000001,0.05,0.01,3.0,0.095,655.0,115.0,176.0,124.0,0.24568792746910845,0.013121625439541583,0.02608695652173913,0.008695652173913044,3.0,115.0,0.16216756648670266,,
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.08000000000000002,0.13,0.05,0.01,4.0,0.10500000000000001,655.0,115.0,176.0,124.0,0.3842318139369203,0.20650995737793856,0.02608695652173913,0.008695652173913044,3.0,115.0,0.0011997600479904018,,
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.09000000000000001,0.14,0.05,0.01,5.0,0.11500000000000002,655.0,115.0,176.0,124.0,0.6070561380886111,0.388854918770317,0.02608695652173913,0.008695652173913044,3.0,115.0,0.0001999600079984003,,
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.04,0.09,0.05,0.01,0.0,0.065,443.0,118.0,98.0,105.0,0.17146193378053085,0.07747972626144367,0.025423728813559324,0.00847457627118644,3.0,118.0,0.00639872025594881,,
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,443.0,118.0,98.0,105.0,0.09404626013942845,0.08178595625049546,0.025423728813559324,0.00847457627118644,3.0,118.0,0.005198960207958408,,
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,443.0,118.0,98.0,105.0,0.07952950940459715,0.028734867966204447,0.025423728813559324,0.00847457627118644,3.0,118.0,0.07538492301539693,,
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.07,0.12000000000000001,0.05,0.01,3.0,0.095,443.0,118.0,98.0,105.0,0.27744373521766647,0.13161182810070957,0.025423728813559324,0.00847457627118644,3.0,118.0,0.0003999200159968006,,
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.08000000000000002,0.13,0.05,0.01,4.0,0.10500000000000001,443.0,118.0,98.0,105.0,0.3201852421921811,0.2217835912811965,0.025423728813559324,0.00847457627118644,3.0,118.0,0.0001999600079984003,,
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.09000000000000001,0.14,0.05,0.01,5.0,0.11500000000000002,443.0,118.0,98.0,105.0,0.24605860564563894,0.215374773471213,0.025423728813559324,0.00847457627118644,3.0,118.0,0.0001999600079984003,,
