eid,axis_key,axis_label,cond_a,cond_b,signed_a,signed_b,span,midpoint,category,cosine_global,sort_key,category_order
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0625), np.float64(0.0)), (np.float64(1.0), np.float64(0.0)))","(0.0625,0) vs (1,0)","(np.float64(0.0625), np.float64(0.0))","(np.float64(1.0), np.float64(0.0))",0.0625,1.0,0.9375,0.53125,one_high,0.4475483899902349,"(0.53125, 0.9375, '((np.float64(0.0625), np.float64(0.0)), (np.float64(1.0), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.125), np.float64(0.0)), (np.float64(1.0), np.float64(0.0)))","(0.125,0) vs (1,0)","(np.float64(0.125), np.float64(0.0))","(np.float64(1.0), np.float64(0.0))",0.125,1.0,0.875,0.5625,one_high,0.18129754670472897,"(0.5625, 0.875, '((np.float64(0.125), np.float64(0.0)), (np.float64(1.0), np.float64(0.0)))')",1
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0), np.float64(0.125)))","(0,0.0625) vs (0,0.125)","(np.float64(0.0), np.float64(0.0625))","(np.float64(0.0), np.float64(0.125))",-0.0625,-0.125,0.0625,-0.09375,neither_high,0.6003123375120741,"(-0.09375, 0.0625, '((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0), np.float64(0.125)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(0.125)))","(0,0) vs (0,0.125)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.125))",0.0,-0.125,0.125,-0.0625,neither_high,0.36120911330217603,"(-0.0625, 0.125, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(0.125)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(0.0625)))","(0,0) vs (0,0.0625)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0), np.float64(0.0625))",0.0,-0.0625,0.0625,-0.03125,neither_high,0.1908965533065672,"(-0.03125, 0.0625, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.0), np.float64(0.0625)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.125)), (np.float64(0.0625), np.float64(0.0)))","(0,0.125) vs (0.0625,0)","(np.float64(0.0), np.float64(0.125))","(np.float64(0.0625), np.float64(0.0))",-0.125,0.0625,0.1875,-0.03125,neither_high,0.5776443283487603,"(-0.03125, 0.1875, '((np.float64(0.0), np.float64(0.125)), (np.float64(0.0625), np.float64(0.0)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0625), np.float64(0.0)))","(0,0.0625) vs (0.0625,0)","(np.float64(0.0), np.float64(0.0625))","(np.float64(0.0625), np.float64(0.0))",-0.0625,0.0625,0.125,0.0,neither_high,0.37498001023828126,"(0.0, 0.125, '((np.float64(0.0), np.float64(0.0625)), (np.float64(0.0625), np.float64(0.0)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.125)), (np.float64(0.125), np.float64(0.0)))","(0,0.125) vs (0.125,0)","(np.float64(0.0), np.float64(0.125))","(np.float64(0.125), np.float64(0.0))",-0.125,0.125,0.25,0.0,neither_high,0.31982883510016336,"(0.0, 0.25, '((np.float64(0.0), np.float64(0.125)), (np.float64(0.125), np.float64(0.0)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.0625), np.float64(0.0)))","(0,0) vs (0.0625,0)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.0625), np.float64(0.0))",0.0,0.0625,0.0625,0.03125,neither_high,0.6596367586396317,"(0.03125, 0.0625, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.0625), np.float64(0.0)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0625)), (np.float64(0.125), np.float64(0.0)))","(0,0.0625) vs (0.125,0)","(np.float64(0.0), np.float64(0.0625))","(np.float64(0.125), np.float64(0.0))",-0.0625,0.125,0.1875,0.03125,neither_high,0.45419952455446877,"(0.03125, 0.1875, '((np.float64(0.0), np.float64(0.0625)), (np.float64(0.125), np.float64(0.0)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0), np.float64(0.0)), (np.float64(0.125), np.float64(0.0)))","(0,0) vs (0.125,0)","(np.float64(0.0), np.float64(0.0))","(np.float64(0.125), np.float64(0.0))",0.0,0.125,0.125,0.0625,neither_high,0.23362252795838737,"(0.0625, 0.125, '((np.float64(0.0), np.float64(0.0)), (np.float64(0.125), np.float64(0.0)))')",2
872ce8ff-9fb3-485c-be00-bc5479e0095b,"((np.float64(0.0625), np.float64(0.0)), (np.float64(0.125), np.float64(0.0)))","(0.0625,0) vs (0.125,0)","(np.float64(0.0625), np.float64(0.0))","(np.float64(0.125), np.float64(0.0))",0.0625,0.125,0.0625,0.09375,neither_high,0.6390420662683863,"(0.09375, 0.0625, '((np.float64(0.0625), np.float64(0.0)), (np.float64(0.125), np.float64(0.0)))')",2
