eid,pid,target_prefix,bin_start,bin_end,bin_idx,time,k_pa,n_active_units,status,n_pos,n_neg,signal_norm,T_obs_raw,T_obs_corrected,mean_noise_scale,haar_status,haar_null_mean_corrected,haar_null_median_corrected,haar_null_p05_corrected,haar_null_p95_corrected,haar_p_lower_corrected,haar_p_upper_corrected,pairing_null_mean_corrected,pairing_null_median_corrected,pairing_null_p05_corrected,pairing_null_p95_corrected,pairing_p_lower_corrected,pairing_p_upper_corrected
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.04,0.07,4,0.05500000000000001,4,108,ok,98,105,18.71542468624297,0.0682082321626361,0.009024558693248426,0.019727891156462583,ok,0.0005497438899364911,-0.010264488729070391,-0.05233845477231287,0.10089893798428659,0.6706586826347305,0.3313373253493014,0.0020944411111741053,0.009024558693248426,-0.018917373550274123,0.02256282539507124,0.6407185628742516,0.5149700598802395
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.05,0.08,5,0.065,4,109,ok,98,105,18.633234087982967,0.008623986524181526,-0.050559686945206156,0.019727891156462583,nonpositive_corrected_block_energy,,,,,,,-0.061480402572376996,-0.05918412048025562,-0.07407441479202913,-0.050559686945206156,1.0,0.15568862275449102
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.06,0.09,6,0.075,4,109,ok,98,105,16.80308830227496,0.021335414361765646,-0.037848259107622045,0.019727891156462583,nonpositive_corrected_block_energy,,,,,,,-0.0380579511709679,-0.037848259107622045,-0.041546764598529504,-0.03487173319848308,0.6407185628742516,0.5149700598802395
872ce8ff-9fb3-485c-be00-bc5479e0095b,625a7bc9-00cf-44f6-a508-3ed89d23ba3a,VISp,0.07,0.1,7,0.085,4,110,ok,98,105,16.426814707824125,0.006807728393124905,-0.052375945076262774,0.019727891156462583,nonpositive_corrected_block_energy,,,,,,,-0.05417999448908842,-0.05432763294721324,-0.05579535013511032,-0.052375945076262774,1.0,0.15568862275449102
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,0.0,0.03,0,0.015,69,393,ok,108,85,37.46749792537384,1.5806314510400847,0.15100182141045998,0.0210239651416122,ok,0.08249779978163573,0.08146413082167628,-0.3351149653348116,0.539688130807166,0.6167664670658682,0.3852295409181637,0.06772821661139902,0.06636978943129085,-0.06871813456767342,0.20634885750719856,0.8343313373253493,0.16766467065868262
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,0.01,0.04,1,0.025,69,389,ok,108,85,33.8386964487247,1.3468693996503267,-0.08276022997929845,0.0210239651416122,nonpositive_corrected_block_energy,,,,,,,-0.15395142222832572,-0.1556537973484413,-0.3125214278728303,-0.0010489727519515486,0.780439121756487,0.2215568862275449
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,0.02,0.05,2,0.035,69,383,ok,108,85,36.54603843073734,1.3676501949768904,-0.06197943465273468,0.0210239651416122,nonpositive_corrected_block_energy,,,,,,,-0.019009939733789064,-0.019547845857228796,-0.14957185671953535,0.10689732125895537,0.3093812375249501,0.6926147704590818
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,0.03,0.06,3,0.045,69,381,ok,108,85,42.83670951908507,2.012502751863859,0.5828731222342343,0.0210239651416122,ok,0.8498297019977364,0.8581552540140996,0.24886284774865178,1.4605139601893542,0.21157684630738524,0.7904191616766467,0.8366400557829644,0.8360952502686816,0.6092908166706621,1.0776360955767368,0.03592814371257485,0.9660678642714571
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,0.04,0.07,4,0.05500000000000001,69,378,ok,108,85,53.336962065242886,3.665348902437008,2.235719272807383,0.0210239651416122,ok,3.258063670464584,3.22663284461237,2.2655843166375598,4.242279351345126,0.0499001996007984,0.9520958083832335,3.2604636077649674,3.2699689523021607,2.594899298425004,3.914762309800213,0.00998003992015968,0.9920159680638723
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,0.05,0.08,5,0.065,69,380,ok,108,85,60.26170067583298,4.306098094190079,2.876468464560454,0.0210239651416122,ok,5.129187904395203,5.092558815768778,3.902717048428718,6.388742990506324,0.001996007984031936,1.0,5.182848213402247,5.225085903738336,3.630378561872326,6.633671338355805,0.001996007984031936,1.0
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,0.06,0.09,6,0.075,69,381,ok,108,85,63.20419760989501,4.82592013987816,3.396290510248536,0.0210239651416122,ok,5.4256961253826415,5.3846639940073775,4.153065317895522,6.706059342802314,0.001996007984031936,1.0,5.438748396114131,5.390224878629347,3.996033435392467,6.9832287760054435,0.007984031936127744,0.9940119760479041
b22f694e-4a34-4142-ab9d-2556c3487086,8b735d77-b77b-4243-8821-37802bf402fe,VISp,0.07,0.1,7,0.085,69,383,ok,108,85,64.2064003174146,5.0789537969789045,3.6493241673492816,0.0210239651416122,ok,5.48373233995556,5.443337223763786,4.215921743187527,6.764494001596933,0.007984031936127744,0.9940119760479041,5.494708851490829,5.496322046690128,4.684296505829686,6.26302862280855,0.001996007984031936,1.0
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,0.0,0.03,0,0.015,10,264,ok,215,193,33.956550376925655,0.21803888451920983,0.12954629505059917,0.009832509940956743,ok,0.09026504989067552,0.07933056842837266,-0.010206819611099888,0.23186380442321824,0.7485029940119761,0.25349301397205587,0.0920294929780012,0.09773285376450369,-0.018971634055738613,0.24072571872652274,0.7584830339321357,0.2435129740518962
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,VISp,0.01,0.04,1,0.025,10,265,ok,215,193,36.69142388487656,0.2595510797444512,0.17105849027584058,0.009832509940956743,ok,0.11642966160269759,0.10394978257336099,0.003918729547876161,0.2720381849044039,0.780439121756487,0.2215568862275449,0.120267450917822,0.13055070104158126,-0.02062775250518241,0.2901496815103399,0.7764471057884231,0.22554890219560877
