eid,pid,target_prefix,status,error,n_trials,n_left,n_right,n_zero,left_fraction,n_total_units
0c828385-6dd6-4842-a702-c5075f5f5e81,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,VISp,ok,,610,224,314,72,0.4163568773234201,151
bb099402-fb31-4cfd-824e-1c97530a0875,b83407f8-8220-46f9-9b90-a4c9f150c572,VISp,ok,,665,244,341,80,0.4170940170940171,186
111c1762-7908-47e0-9f40-2f2ee55b6505,27bac116-ea57-4512-ad35-714a62d259cd,VISp,ok,,724,252,385,87,0.3956043956043956,134
8a3a0197-b40a-449f-be55-c00b23253bbf,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,VISp,ok,,417,154,213,50,0.4196185286103542,128
bda2faf5-9563-4940-a80f-ce444259e47b,29418b18-4db6-436f-a85e-b0f1d38d2e62,VISp,ok,,545,231,260,54,0.47046843177189407,310
91bac580-76ed-41ab-ac07-89051f8d7f6e,6d9b6393-6729-4a15-ad08-c6838842a074,VISp,ok,,699,300,306,93,0.49504950495049505,109
8a1cf4ef-06e3-4c72-9bc7-e1baa189841b,5544da75-8d34-47cb-9092-1f91e713e79c,VISp,ok,,405,189,165,51,0.5338983050847458,7
7416f387-b302-4ca3-8daf-03b585a1b7ec,caf2170c-5463-46ce-8cd0-66f2e1e3376d,VISp,ok,,476,227,199,50,0.5328638497652582,47
7cb81727-2097-4b52-b480-c89867b5b34c,4b93a168-0f3b-4124-88fa-a57046ca70e1,VISp,ok,,658,290,287,81,0.5025996533795494,133
75b6b132-d998-4fba-8482-961418ac957d,88fe9ed9-9e3e-431a-8ecc-4cb2fe5bf448,VISp,ok,,471,223,198,50,0.5296912114014252,52
b52182e7-39f6-4914-9717-136db589706e,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,VISp,ok,,700,295,320,85,0.4796747967479675,153
83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,220bca21-4cf8-43f1-a213-71645899c571,VISp,ok,,907,428,375,104,0.5330012453300125,13
