eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_index,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval,status,n_active_units
1ec23a70-b94b-4e9c-a0df-8c2151da3761,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,VISl,0.04,0.09,0.05,0.01,0,0,0.065,1193,240,262.0,269.0,0.048956562123332804,0.03472154419689278,0.0125,0.004166666666666667,3.0,240.0,0.04939012197560488,ok,240
1ec23a70-b94b-4e9c-a0df-8c2151da3761,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,VISl,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,1193,239,262.0,269.0,0.03175454676667976,0.028325962592583354,0.012552301255230125,0.0041841004184100415,3.0,239.0,0.0615876824635073,ok,239
1ec23a70-b94b-4e9c-a0df-8c2151da3761,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,VISl,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,1193,235,262.0,269.0,0.05287623533483195,0.028229135554784315,0.01276595744680851,0.00425531914893617,3.0,235.0,0.06758648270345931,ok,235
1ec23a70-b94b-4e9c-a0df-8c2151da3761,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,VISl,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,1193,237,262.0,269.0,0.06324981054168403,0.046110096372771255,0.012658227848101266,0.004219409282700422,3.0,237.0,0.026194761047790442,ok,237
1ec23a70-b94b-4e9c-a0df-8c2151da3761,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,VISl,0.08000000000000002,0.13,0.05,0.01,4,0,0.10500000000000001,1193,237,262.0,269.0,0.0959320849794135,0.06096134529664288,0.012658227848101266,0.004219409282700422,3.0,237.0,0.013597280543891222,ok,237
1ec23a70-b94b-4e9c-a0df-8c2151da3761,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,VISl,0.09000000000000001,0.14,0.05,0.01,5,0,0.11500000000000002,1193,236,262.0,269.0,0.13105823633496322,0.050375426346001166,0.012711864406779662,0.00423728813559322,3.0,236.0,0.01199760047990402,ok,236
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,VISl,0.04,0.09,0.05,0.01,0,0,0.065,1278,93,301.0,281.0,0.047658714043993855,0.03118352730364963,0.03225806451612903,0.010752688172043012,3.0,93.0,0.10097980403919216,ok,93
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,VISl,0.05,0.1,0.05,0.01,1,0,0.07500000000000001,1278,93,301.0,281.0,0.06612364137228866,0.05334627866615458,0.03225806451612903,0.010752688172043012,3.0,93.0,0.0595880823835233,ok,93
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,VISl,0.060000000000000005,0.11000000000000001,0.05,0.01,2,0,0.085,1278,92,301.0,281.0,0.11331096912646241,0.03690806550982976,0.03260869565217391,0.010869565217391304,3.0,92.0,0.1241751649670066,ok,92
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,VISl,0.07,0.12000000000000001,0.05,0.01,3,0,0.095,1278,92,301.0,281.0,0.1366395962819843,0.041717088086803314,0.03260869565217391,0.010869565217391304,3.0,92.0,0.13177364527094582,ok,92
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,VISl,0.08000000000000002,0.13,0.05,0.01,4,0,0.10500000000000001,1278,94,301.0,281.0,0.11811441520780669,0.08451188492350237,0.031914893617021274,0.010638297872340425,3.0,94.0,0.046590681863627276,ok,94
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,VISl,0.09000000000000001,0.14,0.05,0.01,5,0,0.11500000000000002,1278,94,301.0,281.0,0.1529869632154456,0.10271341224857619,0.031914893617021274,0.010638297872340425,3.0,94.0,0.04359128174365127,ok,94
